Sample,R,G,B,C,M,Y,H,S,I,L* ,a*,b*
Sliced_cupcake-1,212,182,44,43,73,211,50.0,0.699,0.573,74.59,-2.73,68.31
Sliced_cupcake-2,232,205,62,23,50,193,52.0,0.627,0.652,82.47,-5.32,70.26
Sliced_cupcake-3,218,188,54,37,67,201,50.0,0.648,0.601,76.76,-2.88,67.2
Sliced_cupcake-4,221,192,60,34,63,195,50.0,0.619,0.618,78.11,-3.41,66.44
Sliced_cupcake-5,218,188,55,37,67,200,50.0,0.642,0.603,76.77,-2.84,66.86
Sliced_cupcake-6,218,190,56,37,65,199,51.0,0.638,0.607,77.29,-3.83,67.0
Sliced_cupcake-7,233,205,60,22,50,195,51.0,0.639,0.651,82.55,-4.98,71.06
Sliced_cupcake-8,222,195,93,33,60,162,49.0,0.453,0.667,79.24,-2.6,53.8
Sliced_cupcake-9,222,194,62,33,61,193,51.0,0.611,0.625,78.73,-3.92,66.33
Sliced_cupcake-10,232,205,67,23,50,188,51.0,0.601,0.659,82.5,-5.09,68.47
Sliced_cupcake-11,211,182,51,44,73,204,50.0,0.655,0.58,74.54,-2.9,65.92
Sliced_cupcake-12,216,190,59,39,65,196,51.0,0.619,0.608,77.13,-4.56,65.7
Sliced_cupcake-13,239,216,80,16,39,175,52.0,0.551,0.699,86.03,-7.07,67.22
Sliced_cupcake-14,212,181,46,43,74,209,50.0,0.686,0.574,74.34,-2.13,67.45
Sliced_cupcake-15,213,185,56,42,70,199,50.0,0.63,0.593,75.53,-3.39,65.16
Sliced_cupcake-16,218,191,61,37,64,194,51.0,0.611,0.614,77.58,-4.13,65.46
Sliced_cupcake-17,193,167,77,62,88,178,48.0,0.471,0.571,69.12,-1.32,49.07
Sliced_cupcake-18,246,220,115,9,35,140,49.0,0.406,0.759,87.98,-3.87,54.24
Sliced_cupcake-19,244,219,114,11,36,141,50.0,0.407,0.754,87.54,-4.25,54.14
Sliced_cupcake-20,244,220,114,11,35,141,50.0,0.408,0.756,87.79,-4.75,54.44
Sliced_cupcake-21,246,220,112,9,35,143,49.0,0.419,0.756,87.94,-4.1,55.6
Sliced_cupcake-22,247,221,110,8,34,145,50.0,0.429,0.756,88.26,-4.36,56.91
Sliced_cupcake-23,244,219,110,11,36,145,50.0,0.424,0.749,87.5,-4.56,55.96
Sliced_cupcake-24,246,220,112,9,35,143,49.0,0.419,0.756,87.94,-4.1,55.6
Sliced_cupcake-25,249,224,120,6,31,135,49.0,0.393,0.775,89.3,-4.27,53.52
Sliced_cupcake-26,249,224,115,6,31,140,50.0,0.413,0.769,89.25,-4.68,55.8
Sliced_cupcake-27,249,225,118,6,30,137,50.0,0.402,0.774,89.53,-4.94,54.73
Sliced_cupcake-28,249,224,113,6,31,142,50.0,0.422,0.766,89.23,-4.83,56.7
Sliced_cupcake-29,234,206,76,21,49,179,50.0,0.558,0.675,83.0,-4.31,65.55
Sliced_cupcake-30,236,210,75,19,45,180,51.0,0.568,0.681,84.19,-5.56,67.23
Sliced_cupcake-31,238,212,75,17,43,180,51.0,0.571,0.686,84.88,-5.73,67.98
Sliced_cupcake-32,233,205,68,22,50,187,51.0,0.597,0.661,82.6,-4.62,68.23
Sliced_cupcake-33,236,208,74,19,47,181,51.0,0.571,0.677,83.67,-4.59,67.09
Sliced_cupcake-34,239,212,87,16,43,168,50.0,0.515,0.703,85.06,-4.65,63.32
Sliced_cupcake-35,246,219,113,9,36,142,49.0,0.413,0.756,87.7,-3.52,54.85
Sliced_cupcake-36,247,220,114,8,35,141,49.0,0.411,0.759,88.05,-3.54,54.81
Sliced_cupcake-37,246,221,113,9,34,142,50.0,0.416,0.758,88.21,-4.53,55.44
Sliced_cupcake-38,236,210,75,19,45,180,51.0,0.568,0.681,84.19,-5.56,67.23
Sliced_cupcake-39,237,213,82,18,42,173,52.0,0.538,0.695,85.1,-6.28,65.39
Sliced_cupcake-40,239,214,81,16,41,174,52.0,0.545,0.698,85.52,-6.01,66.29
Sliced_cupcake-41,236,211,79,19,44,176,51.0,0.549,0.688,84.48,-5.85,65.93
Sliced_cupcake-42,229,203,63,26,52,192,52.0,0.618,0.647,81.69,-5.52,69.06
Sliced_cupcake-43,241,217,83,14,38,172,52.0,0.54,0.707,86.48,-6.58,66.54
Sliced_cupcake-44,236,212,80,19,43,175,52.0,0.545,0.69,84.74,-6.3,65.8
Sliced_cupcake-45,237,212,79,18,43,176,52.0,0.551,0.69,84.82,-5.94,66.32
Sliced_cupcake-46,238,214,81,17,41,174,52.0,0.544,0.697,85.44,-6.43,66.18
Sliced_cupcake-48,255,243,175,0,12,80,52.0,0.22,0.88,95.35,-5.87,34.31
Sliced_cupcake-49,255,238,170,0,17,85,49.0,0.231,0.867,94.02,-3.96,35.05
Sliced_cupcake-50,248,225,126,7,30,129,50.0,0.369,0.783,89.54,-4.67,50.94
Sliced_cupcake-51,244,219,115,11,36,140,49.0,0.403,0.756,87.55,-4.17,53.69
Sliced_cupcake-51,247,221,116,8,34,139,49.0,0.404,0.763,88.33,-3.89,54.2
Sliced_cupcake-52,247,223,115,8,32,140,50.0,0.41,0.765,88.82,-4.98,55.25
Sliced_cupcake-53,247,223,115,8,32,140,50.0,0.41,0.765,88.82,-4.98,55.25
Sliced_cupcake-54,247,223,115,8,32,140,50.0,0.41,0.765,88.82,-4.98,55.25
Sliced_cupcake-55,244,219,113,11,36,142,50.0,0.411,0.753,87.53,-4.33,54.6
Sliced_cupcake-56,246,221,114,9,34,141,50.0,0.411,0.759,88.22,-4.45,54.99
Sliced_cupcake-57,247,223,119,8,32,136,50.0,0.394,0.77,88.87,-4.65,53.43
Sliced_cupcake-58,248,224,115,7,31,140,50.0,0.412,0.767,89.16,-5.08,55.67
Sliced_cupcake-59,247,223,116,8,32,139,50.0,0.406,0.766,88.83,-4.9,54.8
Sliced_cupcake-60,248,224,118,7,31,137,50.0,0.4,0.771,89.19,-4.84,54.31
Sliced_cupcake-61,251,227,119,4,28,136,50.0,0.402,0.78,90.22,-5.06,55.12
Sliced_cupcake-62,248,224,115,7,31,140,50.0,0.412,0.767,89.16,-5.08,55.67
Sliced_cupcake-63,243,219,107,12,36,148,50.0,0.436,0.744,87.38,-5.2,57.18
Sliced_cupcake-64,242,218,102,13,37,153,51.0,0.456,0.735,86.99,-5.46,58.97
Sliced_cupcake-65,242,217,96,13,38,159,51.0,0.481,0.725,86.68,-5.37,61.29
Sliced_cupcake-66,246,223,103,9,32,152,51.0,0.46,0.748,88.61,-6.28,60.46
Sliced_cupcake-67,241,216,97,14,39,158,51.0,0.475,0.724,86.34,-5.21,60.45
Sliced_cupcake-68,246,219,127,9,36,128,48.0,0.356,0.774,87.87,-2.34,48.37
Sliced_cupcake-69,247,221,136,8,34,119,47.0,0.325,0.79,88.57,-2.12,44.86
Sliced_cupcake-70,247,220,132,8,35,123,47.0,0.339,0.783,88.27,-1.99,46.45
Sliced_cupcake-71,249,224,126,6,31,129,49.0,0.369,0.783,89.37,-3.76,50.75
Sliced_cupcake-72,244,218,125,11,37,130,48.0,0.361,0.767,87.42,-2.81,48.75
Sliced_cupcake-73,246,220,128,9,35,127,48.0,0.354,0.776,88.13,-2.76,48.21
Sliced_cupcake-74,247,220,128,8,35,127,48.0,0.355,0.778,88.22,-2.36,48.34
Sliced_cupcake-75,246,219,127,9,36,128,48.0,0.356,0.774,87.87,-2.34,48.37
Sliced_cupcake-76,244,218,127,11,37,128,48.0,0.353,0.77,87.44,-2.63,47.81
Sliced_cupcake-78,242,217,112,13,38,143,50.0,0.412,0.746,86.84,-4.2,54.21
Sliced_cupcake-79,237,211,101,18,44,154,50.0,0.448,0.718,84.76,-4.03,56.77
Sliced_cupcake-80,247,224,116,8,31,139,51.0,0.407,0.767,89.09,-5.4,55.1
Sliced_cupcake-81,233,208,95,22,47,160,50.0,0.468,0.701,83.58,-4.58,58.06
Sliced_cupcake-82,251,226,132,4,29,123,49.0,0.35,0.796,90.12,-3.44,48.82
Sliced_cupcake-83,251,229,134,4,26,121,50.0,0.345,0.803,90.9,-4.77,48.81
Sliced_cupcake-84,249,226,128,6,29,127,50.0,0.363,0.788,89.9,-4.6,50.44
Sliced_cupcake-85,249,226,120,6,29,135,50.0,0.395,0.778,89.81,-5.28,54.12
Sliced_cupcake-86,242,217,110,13,38,145,50.0,0.42,0.744,86.81,-4.36,55.12
Sliced_cupcake-87,246,220,114,9,35,141,49.0,0.41,0.758,87.97,-3.95,54.69
Sliced_cupcake-88,249,225,121,6,30,134,50.0,0.39,0.778,89.57,-4.69,53.37
Sliced_cupcake-89,248,225,121,7,30,134,50.0,0.389,0.776,89.48,-5.09,53.24
Sliced_cupcake-90,217,191,87,38,64,168,49.0,0.473,0.647,77.7,-3.05,54.69
Sliced_cupcake-91,222,195,83,33,60,172,49.0,0.502,0.654,79.15,-3.29,58.21
Sliced_cupcake-92,221,194,80,34,61,175,50.0,0.515,0.647,78.77,-3.38,59.08
Sliced_cupcake-93,226,199,88,29,56,167,49.0,0.485,0.671,80.58,-3.35,57.68
Sliced_cupcake-94,222,195,83,33,60,172,49.0,0.502,0.654,79.15,-3.29,58.21
Sliced_cupcake-95,214,187,81,41,68,174,49.0,0.496,0.63,76.33,-2.64,55.8
Sliced_cupcake-96,224,199,87,31,56,168,50.0,0.488,0.667,80.39,-4.25,57.86
Sliced_cupcake-97,236,212,89,19,43,166,51.0,0.503,0.702,84.81,-5.77,62.13
Sliced_cupcake-98,221,193,73,34,62,182,50.0,0.55,0.637,78.46,-3.27,61.71
Sliced_cupcake-99,228,204,81,27,51,174,51.0,0.526,0.671,81.99,-5.52,62.28
Sliced_cupcake-100,229,203,81,26,52,174,51.0,0.526,0.671,81.82,-4.59,62.13
Sliced_cupcake-101,221,193,75,34,62,180,50.0,0.54,0.639,78.47,-3.16,60.89
Sliced_cupcake-102,242,217,100,13,38,155,51.0,0.463,0.731,86.71,-5.1,59.56
Sliced_cupcake-103,243,219,100,12,36,155,51.0,0.466,0.735,87.31,-5.7,60.25
Sliced_cupcake-104,242,217,94,13,38,161,51.0,0.49,0.723,86.66,-5.5,62.14
Sliced_cupcake-105,243,218,96,12,37,159,51.0,0.483,0.728,87.02,-5.47,61.69
Sliced_cupcake-106,243,219,96,12,36,159,51.0,0.484,0.729,87.27,-5.97,61.97
Sliced_cupcake-107,242,218,106,13,37,149,50.0,0.438,0.74,87.03,-5.17,57.21
Sliced_cupcake-108,244,219,106,11,36,149,50.0,0.441,0.744,87.45,-4.86,57.74
Sliced_cupcake-109,246,221,106,9,34,149,50.0,0.445,0.749,88.14,-5.06,58.57
Sliced_cupcake-110,243,219,102,12,36,153,51.0,0.457,0.737,87.33,-5.56,59.38
